Protein id,number in CRISPR array,Number in genome sequences,Co-occurance,BLASTp derived description,
14137|*|gene_10556|GeneMark.hmm|781_aa|-|80994|83339,10,3619,0.002763194,,
13633|*|gene_1993726|GeneMark.hmm|793_aa|+|27656|30037,440,159474,0.00275907,,
13718|*|gene_3545686|GeneMark.hmm|791_aa|+|2881|5256,254,92075,0.002758621,,
1426|*|gene_3843276|GeneMark.hmm|1458_aa|+|13279|17655,197,71419,0.00275837,,
115|*|gene_2081506|GeneMark.hmm|2692_aa|+|3057|11135,187,67955,0.002751821,,
10815|*|gene_3803444|GeneMark.hmm|853_aa|-|6636|9197,145,52813,0.002745536,,
8691|*|gene_406524|GeneMark.hmm|916_aa|+|36292|39042,140,50997,0.00274526,,
12785|*|gene_4847955|GeneMark.hmm|809_aa|+|29099|31528,99,36099,0.002742458,,
5522|*|gene_36390|GeneMark.hmm|1050_aa|-|14008|17160,13,4745,0.002739726,,
7294|*|gene_4745671|GeneMark.hmm|970_aa|-|245|3157,9,3286,0.002738892,,
9273|*|gene_2155120|GeneMark.hmm|897_aa|+|192|2885,9,3297,0.002729754,,
2842|*|gene_569772|GeneMark.hmm|1247_aa|-|31605|35348,101,37009,0.002729066,,
5284|*|gene_3211905|GeneMark.hmm|1065_aa|-|807|4004,86,31631,0.002718852,,
9864|*|gene_41334|GeneMark.hmm|878_aa|-|18247|20883,204,75034,0.002718767,,
3040|*|gene_4870770|GeneMark.hmm|1226_aa|-|16041|19721,7,2578,0.002715283,,
7942|*|gene_30726|GeneMark.hmm|941_aa|-|22166|24991,3,1106,0.002712477,,
9629|*|gene_699356|GeneMark.hmm|886_aa|-|29148|31808,106,39093,0.002711483,,
9486|*|gene_32236|GeneMark.hmm|889_aa|+|15586|18255,4,1477,0.002708192,,
11552|*|gene_27505|GeneMark.hmm|835_aa|+|7980|10487,97,35892,0.002702552,,
2549|*|gene_3930935|GeneMark.hmm|1288_aa|+|1231|5097,167,61865,0.002699426,,
6792|*|gene_44616|GeneMark.hmm|991_aa|+|20747|23722,266,98594,0.002697933,,
535|*|gene_4497077|GeneMark.hmm|1863_aa|-|16045|21636,19,7045,0.002696948,,
12993|*|gene_34669|GeneMark.hmm|804_aa|-|6956|9370,151,56218,0.002685972,,
8677|*|gene_1497855|GeneMark.hmm|916_aa|+|33410|36160,29,10807,0.002683446,,
2659|*|gene_4076109|GeneMark.hmm|1274_aa|-|8153|11977,15,5602,0.002677615,,
14006|*|gene_2306532|GeneMark.hmm|785_aa|-|798|3155,54,20187,0.002674989,,
11371|*|gene_1672729|GeneMark.hmm|841_aa|-|27074|29599,67,25057,0.002673904,,
6484|*|gene_867910|GeneMark.hmm|1006_aa|+|5788|8808,89,33300,0.002672673,,
1267|*|gene_2855160|GeneMark.hmm|1500_aa|-|2|4501,16,5987,0.002672457,,
509|*|gene_1098|GeneMark.hmm|1889_aa|-|229833|235502,48,17964,0.002672011,,
5935|*|gene_1833581|GeneMark.hmm|1032_aa|+|2595|5693,161,60399,0.002665607,,
7962|*|gene_2363797|GeneMark.hmm|941_aa|+|2793|5618,14,5253,0.002665144,,
888|*|gene_2435773|GeneMark.hmm|1649_aa|-|3652|8601,5,1878,0.002662407,,
9550|*|gene_1373639|GeneMark.hmm|888_aa|+|10302|12968,426,160294,0.002657617,,
294|*|gene_304613|GeneMark.hmm|2153_aa|+|17994|24455,373,140564,0.002653596,,
3719|*|gene_4275323|GeneMark.hmm|1166_aa|+|29086|32586,224,84490,0.002651201,,
1409|*|gene_3183757|GeneMark.hmm|1462_aa|+|3445|7833,33,12464,0.002647625,,
8155|*|gene_6679|GeneMark.hmm|933_aa|+|64938|67739,10,3780,0.002645503,,
906|*|gene_2658512|GeneMark.hmm|1640_aa|+|1566|6488,18,6814,0.00264162,,
483|*|gene_1621211|GeneMark.hmm|1909_aa|+|4059|9788,3,1140,0.002631579,,
10845|*|gene_3904|GeneMark.hmm|851_aa|+|9596|12151,37,14131,0.002618357,,
9130|*|gene_12239|GeneMark.hmm|900_aa|-|40539|43241,228,87534,0.002604702,,
279|*|gene_1994003|GeneMark.hmm|2168_aa|-|8189|14695,416,160022,0.002599643,,
5860|*|gene_4879938|GeneMark.hmm|1036_aa|+|22048|25158,96,37035,0.002592143,,
3480|*|gene_2776675|GeneMark.hmm|1185_aa|-|8011|11568,71,27467,0.00258492,,
12447|*|gene_37906|GeneMark.hmm|815_aa|-|8042|10489,14,5419,0.002583502,,
10860|*|gene_20736|GeneMark.hmm|851_aa|-|9204|11759,31,12035,0.002575821,,
8803|*|gene_967|GeneMark.hmm|910_aa|+|16377|19109,15,5828,0.002573782,,
3297|*|gene_3797194|GeneMark.hmm|1203_aa|-|7287|10898,167,64926,0.002572159,,
15001|*|gene_41331|GeneMark.hmm|765_aa|+|22408|24705,2,780,0.002564103,,
2458|*|gene_1096071|GeneMark.hmm|1300_aa|+|18201|22103,1556,607130,0.002562878,,
13334|*|gene_3852985|GeneMark.hmm|799_aa|-|12283|14682,95,37120,0.002559267,,
8568|*|gene_2340444|GeneMark.hmm|920_aa|-|2088|4850,152,59412,0.002558406,,
14938|*|gene_18707|GeneMark.hmm|766_aa|+|28593|30893,35,13714,0.002552137,,
6922|*|gene_2245599|GeneMark.hmm|987_aa|+|7864|10827,154,60347,0.002551908,,
13303|*|gene_1185546|GeneMark.hmm|799_aa|+|29682|32081,205,80443,0.002548388,,
7015|*|gene_2601068|GeneMark.hmm|983_aa|+|13080|16031,23,9033,0.002546219,,
15250|*|gene_2221475|GeneMark.hmm|762_aa|-|22304|24592,22,8652,0.002542765,,
6431|*|gene_47811|GeneMark.hmm|1007_aa|+|11761|14784,16,6307,0.002536864,,
416|*|gene_2198857|GeneMark.hmm|1989_aa|+|5969|11938,125,49349,0.002532979,,
10469|*|gene_3993351|GeneMark.hmm|862_aa|-|2|2587,13,5142,0.002528199,,
2917|*|gene_1571806|GeneMark.hmm|1239_aa|+|7380|11099,78,30877,0.002526152,,
2779|*|gene_849178|GeneMark.hmm|1255_aa|+|3336|7103,129,51336,0.002512856,,
11192|*|gene_40377|GeneMark.hmm|843_aa|-|37087|39618,63,25141,0.002505867,,
4208|*|gene_2758552|GeneMark.hmm|1129_aa|+|11353|14742,205,81964,0.002501098,,
7783|*|gene_1119929|GeneMark.hmm|949_aa|-|32011|34860,43,17202,0.002499709,,
10845|*|gene_4123646|GeneMark.hmm|853_aa|-|1729|4290,125,50024,0.002498801,,
6502|*|gene_2139640|GeneMark.hmm|1006_aa|+|36145|39165,34,13634,0.002493766,,
668|*|gene_2611186|GeneMark.hmm|1773_aa|+|4950|10271,20,8030,0.00249066,,
5453|*|gene_13641|GeneMark.hmm|1053_aa|-|12509|15670,3,1205,0.002489627,,
2718|*|gene_4877981|GeneMark.hmm|1264_aa|-|10212|14006,167,67145,0.002487155,,
1141|*|gene_1787577|GeneMark.hmm|1542_aa|+|11927|16555,382,153905,0.002482051,,
4546|*|gene_1101029|GeneMark.hmm|1107_aa|+|15573|18896,69,27855,0.002477114,,
4033|*|gene_1104001|GeneMark.hmm|1140_aa|+|35635|39057,83,33560,0.002473182,,
2527|*|gene_4024521|GeneMark.hmm|1292_aa|-|1985|5863,7,2840,0.002464789,,
12642|*|gene_3106142|GeneMark.hmm|813_aa|+|1069|3510,74,30023,0.002464777,,
8925|*|gene_32153|GeneMark.hmm|906_aa|+|24670|27390,5,2031,0.002461841,,
2946|*|gene_31885|GeneMark.hmm|1234_aa|+|20939|24643,3,1220,0.002459016,,
503|*|gene_3796798|GeneMark.hmm|1895_aa|-|13876|19563,78,31767,0.002455378,,
2452|*|gene_997|GeneMark.hmm|1300_aa|+|29183|33085,132,53778,0.002454535,,
5249|*|gene_3049547|GeneMark.hmm|1067_aa|-|56682|59885,163,66648,0.002445685,,
477|*|gene_1612264|GeneMark.hmm|1917_aa|+|20785|26538,360,147334,0.002443428,,
14504|*|gene_30814|GeneMark.hmm|774_aa|+|9723|12047,242,99080,0.002442471,,
8124|*|gene_629769|GeneMark.hmm|935_aa|+|30337|33144,308,126567,0.002433494,,
4517|*|gene_2027881|GeneMark.hmm|1108_aa|-|5148|8474,134,55482,0.002415198,,
14429|*|gene_44472|GeneMark.hmm|775_aa|+|4584|6911,167,69410,0.002405993,,
7831|*|gene_36919|GeneMark.hmm|945_aa|+|516|3353,26,10809,0.002405403,,
10569|*|gene_39217|GeneMark.hmm|858_aa|-|34791|37367,27,11241,0.002401922,,
9792|*|gene_2041417|GeneMark.hmm|881_aa|-|19748|22393,17,7080,0.00240113,,
5259|*|gene_11384|GeneMark.hmm|1064_aa|-|92354|95548,8,3344,0.002392344,,
13706|*|gene_30875|GeneMark.hmm|790_aa|+|34791|37163,10,4207,0.002376991,,
5473|*|gene_3368225|GeneMark.hmm|1054_aa|-|3|3164,105,44234,0.00237374,,
11379|*|gene_4501611|GeneMark.hmm|840_aa|-|25484|28006,17,7167,0.002371983,,
6403|*|gene_978341|GeneMark.hmm|1011_aa|-|32700|35735,2,846,0.002364066,,
14234|*|gene_4623412|GeneMark.hmm|780_aa|+|14577|16919,192,81329,0.002360782,,
2778|*|gene_38993|GeneMark.hmm|1253_aa|-|5689|9450,17,7212,0.002357182,,
12229|*|gene_26370|GeneMark.hmm|820_aa|+|28090|30552,35,14881,0.002351992,,
4434|*|gene_4007524|GeneMark.hmm|1113_aa|+|10698|14039,244,104466,0.002335688,,
11666|*|gene_4712961|GeneMark.hmm|834_aa|-|847|3351,22,9427,0.002333722,,
8535|*|gene_1844329|GeneMark.hmm|921_aa|-|4188|6953,368,158039,0.002328539,,
15093|*|gene_2145866|GeneMark.hmm|765_aa|+|28501|30798,366,157462,0.00232437,,
3894|*|gene_31876|GeneMark.hmm|1150_aa|+|28280|31732,17,7321,0.002322087,,
4450|*|gene_1621039|GeneMark.hmm|1112_aa|-|27022|30360,199,85784,0.00231978,,
7870|*|gene_3860834|GeneMark.hmm|945_aa|-|2015|4852,97,41843,0.002318189,,
13664|*|gene_2194032|GeneMark.hmm|792_aa|+|726|3104,172,74616,0.002305136,,
331|*|gene_2372712|GeneMark.hmm|2091_aa|-|3337|9612,36,15644,0.002301202,,
5775|*|gene_683649|GeneMark.hmm|1040_aa|-|10255|13377,4,1739,0.002300173,,
13965|*|gene_2324572|GeneMark.hmm|786_aa|+|5947|8307,119,51753,0.002299384,,
12573|*|gene_47642|GeneMark.hmm|813_aa|+|7394|9835,17,7418,0.002291723,,
4240|*|gene_3891041|GeneMark.hmm|1127_aa|+|3056|6439,43,18792,0.002288208,,
15847|*|gene_2428088|GeneMark.hmm|751_aa|-|175|2430,41,17918,0.002288202,,
6330|*|gene_1583778|GeneMark.hmm|1014_aa|-|35475|38519,528,231249,0.002283253,,
1172|*|gene_1386970|GeneMark.hmm|1531_aa|-|14915|19510,110,48301,0.002277386,,
983|*|gene_32245|GeneMark.hmm|1597_aa|+|26946|31739,8,3514,0.002276608,,
10567|*|gene_17518|GeneMark.hmm|858_aa|+|16163|18739,31,13621,0.002275898,,
5008|*|gene_14440|GeneMark.hmm|1078_aa|-|1|3234,3,1319,0.00227445,,
10309|*|gene_2967500|GeneMark.hmm|867_aa|+|84408|87011,85,37410,0.00227212,,
5357|*|gene_3114162|GeneMark.hmm|1060_aa|+|436|3618,61,26853,0.002271627,,
8974|*|gene_190773|GeneMark.hmm|906_aa|+|14018|16738,42,18557,0.002263297,,
5376|*|gene_1772091|GeneMark.hmm|1060_aa|-|1|3180,19,8396,0.002262982,,
74|*|gene_2083009|GeneMark.hmm|3116_aa|-|10866|20216,268,118636,0.002259011,,
6839|*|gene_3417633|GeneMark.hmm|990_aa|+|48239|51211,78,34583,0.002255443,,
6221|*|gene_3855276|GeneMark.hmm|1020_aa|+|4627|7689,3,1331,0.002253944,,
11081|*|gene_2348872|GeneMark.hmm|847_aa|-|38|2581,8,3551,0.002252887,,
12176|*|gene_1981793|GeneMark.hmm|823_aa|+|26767|29238,3,1333,0.002250563,,
14535|*|gene_2711193|GeneMark.hmm|775_aa|-|2794|5121,2,892,0.002242152,,
5006|*|gene_2172935|GeneMark.hmm|1080_aa|-|34660|37902,163,72729,0.002241197,,
2703|*|gene_2559865|GeneMark.hmm|1267_aa|-|27198|31001,57,25556,0.002230396,,
1331|*|gene_16419|GeneMark.hmm|1480_aa|-|19382|23824,44,19779,0.002224582,,
3405|*|gene_22995|GeneMark.hmm|1191_aa|-|3|3575,83,37385,0.002220142,,
12463|*|gene_3536198|GeneMark.hmm|816_aa|-|17068|19518,2,902,0.002217295,,
12203|*|gene_3993954|GeneMark.hmm|822_aa|-|9166|11634,94,42435,0.002215153,,
3274|*|gene_44892|GeneMark.hmm|1204_aa|+|2|3616,17,7677,0.002214407,,
10449|*|gene_1771605|GeneMark.hmm|863_aa|-|11523|14114,31,14008,0.002213021,,
5451|*|gene_961693|GeneMark.hmm|1056_aa|+|6723|9893,172,77814,0.002210399,,
9778|*|gene_22706|GeneMark.hmm|880_aa|-|3238|5880,13,5886,0.002208631,,
1049|*|gene_3967135|GeneMark.hmm|1572_aa|+|1626|6344,481,218803,0.002198325,,
13163|*|gene_2566224|GeneMark.hmm|802_aa|+|392|2800,124,56566,0.00219213,,
8367|*|gene_8021|GeneMark.hmm|925_aa|-|16657|19434,89,40660,0.002188883,,
8436|*|gene_28875|GeneMark.hmm|923_aa|-|29917|32688,42,19203,0.002187158,,
11824|*|gene_13835|GeneMark.hmm|829_aa|+|48835|51324,92,42204,0.002179888,,
2657|*|gene_2738956|GeneMark.hmm|1274_aa|-|9368|13192,157,72026,0.002179768,,
4186|*|gene_697475|GeneMark.hmm|1130_aa|+|29614|33006,14,6423,0.002179667,,
9963|*|gene_131165|GeneMark.hmm|876_aa|-|12156|14786,14,6424,0.002179328,,
4431|*|gene_2724021|GeneMark.hmm|1114_aa|-|1120|4464,147,67458,0.002179134,,
9998|*|gene_4114346|GeneMark.hmm|875_aa|-|38502|41129,89,40848,0.002178809,,
5296|*|gene_3098414|GeneMark.hmm|1064_aa|-|2|3193,137,62897,0.002178164,,
12546|*|gene_4524875|GeneMark.hmm|814_aa|-|30485|32929,101,46404,0.002176537,,
6920|*|gene_4598953|GeneMark.hmm|987_aa|+|518|3481,14,6441,0.002173576,,
12751|*|gene_32803|GeneMark.hmm|809_aa|-|25397|27826,36,16575,0.002171946,,
2960|*|gene_26732|GeneMark.hmm|1233_aa|-|15245|18946,19,8748,0.002171925,,
10331|*|gene_27311|GeneMark.hmm|865_aa|-|34799|37396,43,19803,0.002171388,,
2637|*|gene_2344810|GeneMark.hmm|1276_aa|-|3848|7678,27,12474,0.002164502,,
13415|*|gene_3558571|GeneMark.hmm|797_aa|+|27271|29664,16,7396,0.002163332,,
7852|*|gene_70874|GeneMark.hmm|946_aa|-|20635|23475,150,69396,0.002161508,,
7409|*|gene_918423|GeneMark.hmm|965_aa|-|28619|31516,185,85628,0.002160508,,
1851|*|gene_41435|GeneMark.hmm|1375_aa|+|1261|5388,9,4173,0.002156722,,
10239|*|gene_15367|GeneMark.hmm|868_aa|+|32932|35538,3,1392,0.002155172,,
195|*|gene_2380637|GeneMark.hmm|2341_aa|-|3401|10426,36,16707,0.002154785,,
12489|*|gene_33388|GeneMark.hmm|815_aa|-|6303|8750,135,62902,0.002146196,,
13732|*|gene_2253643|GeneMark.hmm|791_aa|+|16822|19197,520,242666,0.002142863,,
3319|*|gene_4097863|GeneMark.hmm|1201_aa|-|20038|23643,135,63023,0.002142075,,
14849|*|gene_1441355|GeneMark.hmm|769_aa|-|14723|17032,106,49540,0.002139685,,
107|*|gene_1701224|GeneMark.hmm|2745_aa|-|2|8236,1248,583768,0.002137836,,
10771|*|gene_2081980|GeneMark.hmm|854_aa|-|36678|39242,612,286945,0.002132813,,
4164|*|gene_8232|GeneMark.hmm|1130_aa|-|88434|91826,40,18809,0.002126642,,
12759|*|gene_3782822|GeneMark.hmm|810_aa|-|3516|5948,119,55992,0.002125304,,
13699|*|gene_1484805|GeneMark.hmm|791_aa|+|6015|8390,93,43880,0.002119417,,
14179|*|gene_612064|GeneMark.hmm|781_aa|-|32436|34781,62,29332,0.002113732,,
9356|*|gene_25818|GeneMark.hmm|893_aa|-|3894|6575,73,34554,0.002112635,,
3949|*|gene_2525437|GeneMark.hmm|1148_aa|+|7040|10486,74,35029,0.002112535,,
11820|*|gene_1448363|GeneMark.hmm|830_aa|-|21728|24220,44,20846,0.002110717,,
1434|*|gene_12054|GeneMark.hmm|1455_aa|+|80475|84842,156,74409,0.002096521,,
11789|*|gene_47980|GeneMark.hmm|830_aa|-|18237|20729,14,6723,0.002082404,,
5932|*|gene_125392|GeneMark.hmm|1032_aa|+|13163|16261,89,42757,0.002081531,,
4520|*|gene_2623939|GeneMark.hmm|1108_aa|-|6717|10043,127,61231,0.002074113,,
10852|*|gene_4137264|GeneMark.hmm|852_aa|+|8401|10959,87,42009,0.002070985,,
7122|*|gene_2299614|GeneMark.hmm|978_aa|+|15946|18882,83,40105,0.002069567,,
13005|*|gene_2192091|GeneMark.hmm|805_aa|-|9832|12249,15,7259,0.0020664,,
8551|*|gene_3808272|GeneMark.hmm|920_aa|-|10998|13760,75,36326,0.002064637,,
6615|*|gene_274877|GeneMark.hmm|1000_aa|+|13228|16230,62,30070,0.002061856,,
5061|*|gene_5674|GeneMark.hmm|1075_aa|-|178675|181902,38,18447,0.002059956,,
15405|*|gene_1942829|GeneMark.hmm|760_aa|-|5759|8041,49,23845,0.002054938,,
3539|*|gene_42754|GeneMark.hmm|1179_aa|+|20102|23641,83,40497,0.002049535,,
3810|*|gene_417749|GeneMark.hmm|1158_aa|-|8125|11601,137,66863,0.002048966,,
7729|*|gene_2727565|GeneMark.hmm|952_aa|+|2|2860,208,101547,0.002048313,,
7317|*|gene_304347|GeneMark.hmm|969_aa|-|8287|11196,136,66510,0.002044805,,
3109|*|gene_1200327|GeneMark.hmm|1220_aa|-|19581|23243,132,64570,0.002044293,,
4410|*|gene_24020|GeneMark.hmm|1113_aa|-|1284|4625,4,1964,0.00203666,,
4553|*|gene_4666066|GeneMark.hmm|1106_aa|+|1|3321,138,67798,0.002035458,,
3028|*|gene_16136|GeneMark.hmm|1226_aa|+|4010|7690,28,13798,0.00202928,,
826|*|gene_2077379|GeneMark.hmm|1681_aa|-|7613|12658,102,50645,0.002014019,,
962|*|gene_2299504|GeneMark.hmm|1610_aa|-|20678|25510,148,73557,0.002012045,,
8798|*|gene_37922|GeneMark.hmm|910_aa|+|7589|10321,55,27488,0.002000873,,
3272|*|gene_4712143|GeneMark.hmm|1205_aa|-|125|3742,40,20032,0.001996805,,
2143|*|gene_2290128|GeneMark.hmm|1335_aa|-|1|4005,266,133373,0.001994407,,
11361|*|gene_4450562|GeneMark.hmm|841_aa|+|880|3405,81,40640,0.00199311,,
15323|*|gene_2407486|GeneMark.hmm|761_aa|-|1969|4254,65,32713,0.001986978,,
8331|*|gene_41840|GeneMark.hmm|927_aa|+|1204|3987,34,17113,0.001986794,,
776|*|gene_987600|GeneMark.hmm|1705_aa|+|4277|9394,101,50855,0.001986039,,
14426|*|gene_1078786|GeneMark.hmm|777_aa|-|30479|32812,159,80221,0.001982025,,
11912|*|gene_6171|GeneMark.hmm|828_aa|-|167035|169521,95,48012,0.001978672,,
8915|*|gene_24339|GeneMark.hmm|907_aa|+|8921|11644,15,7593,0.001975504,,
14545|*|gene_173817|GeneMark.hmm|775_aa|-|30935|33262,149,75497,0.001973588,,
14575|*|gene_21771|GeneMark.hmm|773_aa|+|7102|9423,103,52239,0.001971707,,
6306|*|gene_2646121|GeneMark.hmm|1016_aa|-|6364|9414,50,25452,0.001964482,,
3439|*|gene_4243682|GeneMark.hmm|1189_aa|+|16762|20331,75,38261,0.001960221,,
1965|*|gene_28592|GeneMark.hmm|1356_aa|-|4096|8166,18,9193,0.001958012,,
14731|*|gene_8714|GeneMark.hmm|770_aa|+|1245|3557,22,11247,0.001956077,,
14699|*|gene_48538|GeneMark.hmm|772_aa|+|6204|8522,282,144211,0.001955468,,
14055|*|gene_1892973|GeneMark.hmm|784_aa|+|33983|36337,483,247210,0.001953804,,
3993|*|gene_1127265|GeneMark.hmm|1144_aa|-|11375|14809,65,33321,0.001950722,,
15078|*|gene_1930309|GeneMark.hmm|765_aa|+|14861|17158,268,137979,0.001942325,,
7394|*|gene_25983|GeneMark.hmm|965_aa|+|1349|4246,276,142209,0.001940805,,
1248|*|gene_35969|GeneMark.hmm|1503_aa|-|27906|32417,28,14443,0.001938655,,
12299|*|gene_25928|GeneMark.hmm|819_aa|-|5903|8362,38,19608,0.001937984,,
4119|*|gene_27248|GeneMark.hmm|1134_aa|+|28166|31570,30,15488,0.001936983,,
12109|*|gene_2490095|GeneMark.hmm|824_aa|+|2007|4481,283,146128,0.001936658,,
899|*|gene_2450547|GeneMark.hmm|1646_aa|+|3|4943,24,12393,0.001936577,,
9796|*|gene_1247217|GeneMark.hmm|881_aa|-|32904|35549,5,2585,0.001934236,,
11319|*|gene_1968824|GeneMark.hmm|842_aa|+|13432|15960,2,1034,0.001934236,,
4414|*|gene_2635179|GeneMark.hmm|1115_aa|-|9376|12723,114,59094,0.00192913,,
579|*|gene_1328795|GeneMark.hmm|1829_aa|-|29056|34545,58,30153,0.001923523,,
10254|*|gene_2548336|GeneMark.hmm|868_aa|-|2153|4759,110,57205,0.001922909,,
14367|*|gene_15548|GeneMark.hmm|776_aa|-|9673|12003,35,18206,0.001922443,,
2547|*|gene_35327|GeneMark.hmm|1287_aa|-|22259|26122,8,4165,0.001920768,,
3712|*|gene_41428|GeneMark.hmm|1165_aa|-|28360|31857,7,3650,0.001917808,,
12187|*|gene_2565391|GeneMark.hmm|822_aa|+|3016|5484,74,38668,0.001913727,,
10772|*|gene_2064556|GeneMark.hmm|854_aa|-|34303|36867,63,32946,0.00191222,,
144|*|gene_2390566|GeneMark.hmm|2562_aa|-|3|7688,233,122198,0.001906742,,
1994|*|gene_3178674|GeneMark.hmm|1354_aa|+|2558|6622,77,40393,0.001906271,,
9125|*|gene_1316427|GeneMark.hmm|902_aa|-|26135|28843,81,42780,0.001893408,,
8753|*|gene_3831687|GeneMark.hmm|913_aa|-|1263|4004,428,227203,0.001883778,,
8175|*|gene_4127571|GeneMark.hmm|934_aa|-|3975|6779,141,74857,0.001883591,,
3198|*|gene_421741|GeneMark.hmm|1212_aa|+|24631|28269,141,74984,0.001880401,,
4253|*|gene_4014466|GeneMark.hmm|1126_aa|+|6202|9582,150,79950,0.001876173,,
9996|*|gene_4687708|GeneMark.hmm|875_aa|-|809|3436,52,27783,0.001871648,,
13657|*|gene_1901702|GeneMark.hmm|792_aa|+|13727|16105,82,44173,0.001856338,,
4655|*|gene_42250|GeneMark.hmm|1098_aa|-|31358|34654,19,10240,0.001855469,,
12051|*|gene_12085|GeneMark.hmm|824_aa|+|10731|13205,96,51750,0.001855072,,
9418|*|gene_7358|GeneMark.hmm|891_aa|-|20128|22803,25,13482,0.001854324,,
7616|*|gene_107|GeneMark.hmm|955_aa|+|101422|104289,16,8636,0.00185271,,
11111|*|gene_678067|GeneMark.hmm|846_aa|+|642|3182,2,1083,0.001846722,,
12006|*|gene_38163|GeneMark.hmm|825_aa|+|33364|35841,49,26598,0.001842244,,
5221|*|gene_4645039|GeneMark.hmm|1068_aa|+|12929|16135,82,44546,0.001840794,,
2195|*|gene_1897006|GeneMark.hmm|1332_aa|+|7369|11367,144,78712,0.001829454,,
9716|*|gene_155797|GeneMark.hmm|883_aa|-|30424|33075,113,61799,0.001828509,,
6154|*|gene_43427|GeneMark.hmm|1022_aa|+|9012|12080,2,1095,0.001826484,,
8642|*|gene_155522|GeneMark.hmm|917_aa|-|28760|31513,120,65996,0.001818292,,
14458|*|gene_31844|GeneMark.hmm|775_aa|-|24501|26828,28,15444,0.001813002,,
4442|*|gene_2256421|GeneMark.hmm|1113_aa|+|1|3342,93,51444,0.001807791,,
4849|*|gene_39626|GeneMark.hmm|1087_aa|+|336|3599,179,99573,0.001797676,,
10566|*|gene_2299323|GeneMark.hmm|859_aa|+|1968|4547,94,52488,0.001790886,,
8370|*|gene_4243758|GeneMark.hmm|927_aa|-|3730|6513,16,8935,0.001790711,,
50|*|gene_4336220|GeneMark.hmm|3342_aa|-|5886|15914,44,24575,0.001790437,,
1603|*|gene_4011886|GeneMark.hmm|1420_aa|+|8131|12393,39,21842,0.001785551,,
15454|*|gene_443327|GeneMark.hmm|759_aa|+|23043|25322,296,165946,0.001783713,,
6465|*|gene_5528|GeneMark.hmm|1006_aa|-|57071|60091,5,2822,0.001771793,,
9352|*|gene_35193|GeneMark.hmm|893_aa|+|28141|30822,7,3966,0.001765003,,
6865|*|gene_120068|GeneMark.hmm|989_aa|+|9343|12312,133,75470,0.00176229,,
4684|*|gene_44904|GeneMark.hmm|1097_aa|+|1155|4448,11,6284,0.001750477,,
11183|*|gene_3883079|GeneMark.hmm|845_aa|-|3878|6415,28,15998,0.001750219,,
7555|*|gene_22143|GeneMark.hmm|957_aa|+|28757|31630,17,9723,0.001748432,,
6504|*|gene_11892|GeneMark.hmm|1004_aa|+|73232|76246,48,27465,0.001747679,,
8238|*|gene_22255|GeneMark.hmm|930_aa|+|778|3570,17,9761,0.001741625,,
13023|*|gene_1725267|GeneMark.hmm|805_aa|+|34852|37269,65,37524,0.001732225,,
10185|*|gene_24979|GeneMark.hmm|870_aa|-|23148|25760,2276,1318800,0.001725811,,
1775|*|gene_625336|GeneMark.hmm|1387_aa|+|27037|31200,60,34923,0.001718065,,
8639|*|gene_4158040|GeneMark.hmm|917_aa|-|12603|15356,114,66478,0.001714853,,
7123|*|gene_48932|GeneMark.hmm|975_aa|-|16415|19342,28,16337,0.001713901,,
15164|*|gene_644042|GeneMark.hmm|764_aa|-|27709|30003,56,32919,0.001701145,,
10356|*|gene_4011512|GeneMark.hmm|866_aa|-|7131|9731,29,17055,0.001700381,,
11775|*|gene_1606923|GeneMark.hmm|832_aa|+|25927|28425,22,12956,0.001698055,,
14931|*|gene_3814589|GeneMark.hmm|768_aa|+|11392|13698,12,7078,0.001695394,,
13144|*|gene_839222|GeneMark.hmm|803_aa|-|1022|3433,80,47267,0.001692513,,
14205|*|gene_4328828|GeneMark.hmm|781_aa|-|5584|7929,4,2379,0.001681379,,
5783|*|gene_4323900|GeneMark.hmm|1040_aa|+|4248|7370,31,18503,0.001675404,,
2762|*|gene_1898948|GeneMark.hmm|1257_aa|+|33251|37024,131,78510,0.001668577,,
5493|*|gene_1341200|GeneMark.hmm|1053_aa|-|12678|15839,248,148958,0.001664899,,
12237|*|gene_1843262|GeneMark.hmm|821_aa|-|26507|28972,267,160636,0.001662143,,
14360|*|gene_1037220|GeneMark.hmm|778_aa|-|20080|22416,29,17460,0.001660939,,
9062|*|gene_23423|GeneMark.hmm|902_aa|+|26132|28840,45,27129,0.001658742,,
9991|*|gene_24303|GeneMark.hmm|874_aa|-|10897|13521,124,74766,0.001658508,,
4299|*|gene_35666|GeneMark.hmm|1121_aa|-|656|4021,9,5435,0.001655934,,
6978|*|gene_13449|GeneMark.hmm|982_aa|-|77445|80393,5,3023,0.001653986,,
4955|*|gene_1234547|GeneMark.hmm|1083_aa|+|5546|8797,56,33879,0.001652941,,
11670|*|gene_4434|GeneMark.hmm|833_aa|+|56921|59422,8,4858,0.001646768,,
14441|*|gene_31225|GeneMark.hmm|775_aa|+|1789|4116,12,7288,0.001646542,,
3907|*|gene_1925345|GeneMark.hmm|1151_aa|+|19255|22710,140,85226,0.001642691,,
2628|*|gene_1591428|GeneMark.hmm|1277_aa|+|23773|27606,5,3044,0.001642576,,
1445|*|gene_295433|GeneMark.hmm|1454_aa|-|35637|40001,22,13411,0.001640444,,
4485|*|gene_831409|GeneMark.hmm|1110_aa|-|2|3331,6,3679,0.001630878,,
